                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0733,                 4.9329,                 4.0471,                0.00065,                0.07608,                 0.0004,                  9e-05,                 2.9534,                 8.0676,                 4.4385,               0.070109,              0.0033212,              0.0033212
                      2,                 2.7586,                 4.6118,                 3.4756,                0.11932,                 0.0848,                0.04204,                0.01355,                 2.2703,                 4.4344,                 3.0307,               0.040065,              0.0066106,              0.0066106
                      3,                 1.8637,                 3.5657,                 2.4266,                0.17501,                0.41572,                0.15865,                0.10307,                   1.45,                 3.0416,                 2.1023,              0.0099773,               0.009856,               0.009856
                      4,                 1.3668,                 2.7407,                 1.8228,                  0.384,                0.36612,                0.28912,                0.20608,                 1.1166,                 2.7805,                 1.7406,               0.009802,               0.009802,               0.009802
                      5,                 1.1013,                 2.3283,                 1.5648,                0.40137,                0.53591,                0.40337,                0.30893,                 0.9257,                 2.2389,                  1.522,               0.009736,               0.009736,               0.009736
                      6,                0.99127,                 2.1017,                 1.4659,                0.42627,                0.59577,                0.49934,                0.39515,                0.85218,                 1.7152,                 1.4064,                0.00967,                0.00967,                0.00967
                      7,                0.92265,                 1.9543,                 1.4002,                0.41811,                0.55717,                0.49121,                0.40339,                0.76292,                  1.697,                 1.2993,               0.009604,               0.009604,               0.009604
                      8,                0.86607,                 1.8072,                 1.3525,                0.46379,                0.63575,                0.55548,                0.45916,                 0.7514,                 1.5549,                 1.2714,               0.009538,               0.009538,               0.009538
                      9,                 0.8319,                  1.697,                 1.3232,                0.51085,                0.63722,                0.63303,                0.52878,                0.69232,                 1.4089,                 1.2237,               0.009472,               0.009472,               0.009472
                     10,                0.79797,                 1.6262,                 1.2832,                0.58759,                0.63871,                0.64615,                0.55102,                 0.6598,                 1.4369,                 1.1779,               0.009406,               0.009406,               0.009406
                     11,                0.76924,                 1.5404,                 1.2613,                 0.5264,                0.67702,                0.67155,                0.57386,                0.61685,                  1.342,                 1.1204,                0.00934,                0.00934,                0.00934
                     12,                0.74875,                 1.4779,                 1.2444,                0.51938,                0.63389,                0.60384,                 0.5072,                0.65727,                 1.4182,                 1.1907,               0.009274,               0.009274,               0.009274
                     13,                0.73656,                  1.428,                 1.2318,                0.62018,                0.65519,                0.70862,                0.59811,                0.64102,                 1.1891,                 1.1597,               0.009208,               0.009208,               0.009208
                     14,                0.71953,                 1.3843,                 1.2184,                0.58655,                 0.6108,                0.66661,                0.57423,                0.61199,                 1.3043,                 1.1132,               0.009142,               0.009142,               0.009142
                     15,                0.71316,                  1.348,                 1.2079,                0.65918,                0.67523,                 0.7343,                0.63624,                0.56992,                 1.1656,                 1.0751,               0.009076,               0.009076,               0.009076
                     16,                0.68783,                  1.282,                   1.19,                 0.6046,                0.65215,                0.73181,                0.64364,                0.54242,                 1.2271,                 1.0688,                0.00901,                0.00901,                0.00901
                     17,                0.68113,                 1.2588,                 1.1928,                0.74171,                0.66857,                0.79027,                 0.6919,                0.54754,                  1.047,                 1.0757,               0.008944,               0.008944,               0.008944
                     18,                0.68267,                  1.216,                 1.1875,                0.70455,                0.71755,                0.77958,                0.68913,                0.54907,                 1.0062,                 1.0458,               0.008878,               0.008878,               0.008878
                     19,                0.66349,                 1.1964,                 1.1716,                0.74516,                0.67565,                0.77002,                0.68018,                0.53259,                 1.0567,                 1.0475,               0.008812,               0.008812,               0.008812
                     20,                0.66093,                 1.1606,                 1.1739,                0.75337,                0.68521,                0.79524,                0.70288,                0.50364,                 1.0683,                 1.0206,               0.008746,               0.008746,               0.008746
