                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0116,                 4.7012,                 4.1716,                      0,                      0,                      0,                      0,                 2.4554,                 4.0858,                 4.0528,                0.07025,              0.0033056,              0.0033056
                      2,                 2.9846,                 4.6247,                  4.028,                0.07443,                 0.0303,                0.00583,                0.00116,                 2.7328,                 11.971,                 4.2698,               0.040195,              0.0065841,              0.0065841
                      3,                 2.9202,                 4.5066,                  3.721,                0.93821,                0.02116,                0.01262,                0.00273,                 2.7729,                 5.3658,                 3.8515,               0.010085,              0.0098077,              0.0098077
                      4,                 2.6066,                 4.2965,                 3.2254,                0.44147,                0.10048,                0.02818,                0.01214,                 2.1992,                 10.055,                 3.4998,              0.0097525,              0.0097525,              0.0097525
                      5,                 2.2618,                 4.0573,                 2.8676,                0.24849,                 0.2699,                0.07415,                0.02464,                  2.298,                 4.3158,                 3.2521,                0.00967,                0.00967,                0.00967
                      6,                 1.9598,                 3.5815,                 2.5639,                0.24011,                0.33063,                0.12208,                0.05768,                 1.8762,                 3.4235,                  2.833,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.7471,                  3.146,                 2.3226,                0.21455,                0.43682,                0.23133,                0.10711,                 1.7207,                 3.5834,                 2.7157,               0.009505,               0.009505,               0.009505
                      8,                 1.6464,                 2.9383,                 2.1932,                0.18057,                0.44287,                0.27134,                0.14301,                 1.6013,                 2.5717,                 2.5993,              0.0094225,              0.0094225,              0.0094225
                      9,                  1.569,                 2.7448,                 2.0922,                 0.2623,                0.47435,                0.31348,                0.17409,                 1.4246,                  2.412,                 2.3616,                0.00934,                0.00934,                0.00934
                     10,                 1.4976,                 2.6005,                 2.0073,                 0.2392,                0.47803,                0.29191,                0.14971,                 1.6331,                 2.5327,                 2.6578,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.4452,                 2.4653,                   1.95,                0.35919,                0.57363,                0.41927,                0.24252,                 1.3862,                  2.138,                 2.3117,               0.009175,               0.009175,               0.009175
                     12,                 1.3901,                  2.303,                 1.8901,                0.25482,                0.54267,                0.40432,                 0.2414,                 1.4105,                 2.1615,                 2.3956,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.3719,                 2.2728,                  1.875,                0.42118,                0.55815,                0.53528,                0.34071,                 1.3345,                 1.8367,                 2.2217,                0.00901,                0.00901,                0.00901
                     14,                   1.32,                 2.1317,                 1.8286,                 0.4453,                0.64666,                0.53653,                0.34073,                 1.2774,                 1.8687,                 2.1585,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.2894,                 2.0457,                 1.7839,                0.44584,                 0.5834,                0.51703,                0.32028,                 1.3154,                 1.8491,                 2.2119,               0.008845,               0.008845,               0.008845
                     16,                 1.2672,                 1.9969,                  1.759,                0.55874,                0.60007,                0.59225,                  0.372,                 1.2923,                  1.711,                 2.1464,              0.0087625,              0.0087625,              0.0087625
